brand,search_volume_relative,date,cpc_pred,search_volume_abs
비에날씬,0.207,2019-05-29,93,54.071506742010875
비에날씬,0.25875,2019-05-30,93,67.5893834275136
비에날씬,0.207,2019-05-31,93,54.071506742010875
비에날씬,0.1871,2019-06-01,93,48.873328074542194
비에날씬,0.49761,2019-06-02,93,129.98320033764267
비에날씬,0.38614,2019-06-03,93,100.86556334956559
비에날씬,1.12659,2019-06-04,93,294.2822163308311
비에날씬,0.25875,2019-06-05,93,67.5893834275136
비에날씬,0.15525,2019-06-06,93,40.553630056508155
비에날씬,0.21894,2019-06-07,93,57.19041394249208
비에날씬,0.22691,2019-06-08,93,59.27229755956371
비에날씬,0.12738,2019-06-09,93,33.27356777196785
비에날씬,0.24283,2019-06-10,93,63.430840493538646
비에날씬,0.23885,2019-06-11,93,62.39120476004492
비에날씬,0.46178,2019-06-12,93,120.6238665861149
비에날씬,0.33041,2019-06-13,93,86.30805093056914
비에날씬,0.25477,2019-06-14,93,66.54974769401986
비에날씬,0.13933,2019-06-15,93,36.39508712253322
비에날씬,0.15127,2019-06-16,93,39.513994323014415
비에날씬,0.46974,2019-06-17,93,122.70313805310236
비에날씬,0.42197,2019-06-18,93,110.22489710109338
비에날씬,0.86385,2019-06-19,93,225.6505850197396
비에날씬,0.43789,2019-06-20,93,114.38344003506832
비에날씬,0.72452,2019-06-21,93,189.2554978972064
비에날씬,0.207,2019-06-22,93,54.071506742010875
비에날씬,0.23487,2019-06-23,93,61.35156902655118
비에날씬,0.25477,2019-06-24,93,66.54974769401986
비에날씬,0.44984,2019-06-25,93,117.50495938563368
비에날씬,0.27866,2019-06-26,93,72.79017424506644
비에날씬,0.36226,2019-06-27,93,94.6277489486032
비에날씬,0.2707,2019-06-28,93,70.71090277807896
비에날씬,0.38614,2019-06-29,93,100.86556334956559
비에날씬,0.33837,2019-06-30,93,88.38732239755662
비에날씬,0.44585,2019-07-01,93,116.4627115020558
비에날씬,0.65684,2019-07-02,93,171.57646612764455
비에날씬,0.64092,2019-07-03,93,167.41792319366962
비에날씬,0.59315,2019-07-04,93,154.93968224166062
비에날씬,1.17038,2019-07-05,93,305.72082154934634
비에날씬,0.35031,2019-07-06,93,91.50622959803783
비에날씬,0.35828,2019-07-07,93,93.58811321510944
비에날씬,0.34633,2019-07-08,93,90.4665938645441
비에날씬,0.90366,2019-07-09,93,236.04955450476112
비에날씬,0.47372,2019-07-10,93,123.74277378659609
비에날씬,0.36226,2019-07-11,93,94.6277489486032
비에날씬,0.19506,2019-07-12,93,50.95259954152967
비에날씬,0.25875,2019-07-13,93,67.5893834275136
비에날씬,0.26671,2019-07-14,93,69.66865489450106
