date,search_ad_spend_est,live_ad_spend_est,search_ad_spend_lag3,live_ad_spend_lag3,search_ad_spend_7d_sum,live_ad_spend_7d_sum,competitor_event_flag,competitor_event_flag_lag3,month,proxy_sales
2019-03-18,3578.115348825424,0.0,2804.383433148258,0.0,33846.70223408241,0.0,0.0,0.0,3,1692389.793311283
2019-03-19,2611.0111867184232,0.0,2127.3376406860093,0.0,29398.1688463649,0.0,0.0,0.0,3,1128259.8622075222
2019-03-20,3481.4292256105064,0.0,1740.59314782634,0.0,20501.10207092989,0.0,0.0,0.0,3,1635990.970759337
2019-03-21,14796.134941334109,0.0,3578.115348825424,0.0,31139.00492414907,0.0,0.0,0.0,3,8236070.26518003
2019-03-22,5028.650127007012,0.0,2611.0111867184232,0.0,33363.27161800783,0.0,0.0,0.0,3,2538513.8371747746
2019-03-23,3481.4292256105064,0.0,3481.4292256105064,0.0,34717.36320293232,0.0,0.0,0.0,3,1635990.970759337
2019-03-24,3578.115348825424,0.0,14796.134941334109,0.0,36554.8854039314,0.0,0.0,0.0,3,1692389.793311283
2019-03-25,6672.80008157626,0.0,5028.650127007012,0.0,39649.57013668224,0.0,0.0,0.0,3,3497577.231726458
2019-03-26,4061.545964900011,0.0,3481.4292256105064,0.0,41100.10491486383,0.0,0.0,0.0,3,1974383.9060710133
2019-03-27,4448.533387717507,0.0,3578.115348825424,0.0,42067.20907697083,0.0,0.0,0.0,3,2200120.901863098
2019-03-28,4351.8472645025895,0.0,6672.80008157626,0.0,31622.92140013931,0.0,0.0,0.0,3,2143722.079311152
2019-03-29,9960.85706075693,0.0,4061.545964900011,0.0,36555.128333889224,0.0,0.0,0.0,3,5415562.315245525
2019-03-30,5609.009796254343,0.0,4448.533387717507,0.0,38682.70890453306,0.0,0.0,0.0,3,2877048.4780707518
2019-03-31,5028.650127007012,0.0,4351.8472645025895,0.0,40133.24368271465,0.0,0.0,0.0,3,2538513.8371747746
2019-04-01,3868.173718470176,0.0,9960.85706075693,0.0,37328.61731960857,0.0,0.0,0.0,4,1861586.2609671208
2019-04-02,17890.819674084945,0.0,5609.009796254343,0.0,51157.89102879351,0.0,0.0,0.0,4,10041257.703595204
2019-04-03,6576.113958361343,0.0,5028.650127007012,0.0,53285.47159943734,0.0,0.0,0.0,4,3441178.4091745126
2019-04-04,5028.650127007012,0.0,3868.173718470176,0.0,53962.274461941764,0.0,0.0,0.0,4,2538513.8371747746
2019-04-05,6769.486204791178,0.0,17890.819674084945,0.0,50770.90360597602,0.0,0.0,0.0,4,3553976.0542784045
2019-04-06,2127.3376406860093,0.0,6576.113958361343,0.0,47289.23145040768,0.0,0.0,0.0,4,846124.0438634906
2019-04-07,3964.859841685093,0.0,5028.650127007012,0.0,46225.44116508576,0.0,0.0,0.0,4,1917985.083519067
2019-04-08,5028.650127007012,0.0,6769.486204791178,0.0,47385.917573622595,0.0,0.0,0.0,4,2538513.8371747746
2019-04-09,3868.173718470176,0.0,2127.3376406860093,0.0,33363.27161800783,0.0,0.0,0.0,4,1861586.2609671208
2019-04-10,5318.708496651763,0.0,3964.859841685093,0.0,32105.866156298245,0.0,0.0,0.0,4,2707710.304830612
2019-04-11,4835.277880577177,0.0,5028.650127007012,0.0,31912.493909868408,0.0,0.0,0.0,4,2425716.1920708823
2019-04-12,2707.6973099333404,0.0,3868.173718470176,0.0,27850.70501501057,0.0,0.0,0.0,4,1184658.684759468
2019-04-13,2901.0695563631757,0.0,5318.708496651763,0.0,28624.436930687734,0.0,0.0,0.0,4,1297456.32986336
2019-04-14,1933.965394256175,0.0,4835.277880577177,0.0,26593.54248325882,0.0,0.0,0.0,4,733326.3987595991
2019-04-15,5415.394619866681,0.0,2707.6973099333404,0.0,26980.286976118492,0.0,0.0,0.0,4,2764109.127382558
2019-04-16,5222.022373436847,0.0,2901.0695563631757,0.0,28334.13563108516,0.0,0.0,0.0,4,2651311.482278666
2019-04-17,3094.4418027930096,0.0,1933.965394256175,0.0,26109.86893722641,0.0,0.0,0.0,4,1410253.9749672518
2019-04-18,17407.389058010358,0.0,5415.394619866681,0.0,38681.980114659586,0.0,0.0,0.0,4,9759263.590835474
2019-04-19,5609.009796254343,0.0,5222.022373436847,0.0,41583.29260098059,0.0,0.0,0.0,4,2877048.4780707518
2019-04-20,5028.650127007012,0.0,3094.4418027930096,0.0,43710.87317162443,0.0,0.0,0.0,4,2538513.8371747746
2019-04-21,12571.868247475357,0.0,17407.389058010358,0.0,54348.77602484361,0.0,0.0,0.0,4,6938613.93531667
2019-04-22,8510.079352617518,0.0,5609.009796254343,0.0,57443.46075759445,0.0,0.0,0.0,4,4569296.565797734
2019-04-23,7736.590366898178,0.0,5028.650127007012,0.0,59958.028751055776,0.0,0.0,0.0,4,4118105.985382165
2019-04-24,5028.650127007012,0.0,12571.868247475357,0.0,61892.237075269775,0.0,0.0,0.0,4,2538513.8371747746
2019-04-25,5125.336250221929,0.0,8510.079352617518,0.0,49610.184267481345,0.0,0.0,0.0,4,2594912.65972672
2019-04-26,4641.9056341473415,0.0,7736.590366898178,0.0,48643.08010537435,0.0,0.0,0.0,4,2312918.54696699
2019-04-27,2320.9528170736708,0.0,5028.650127007012,0.0,45935.38279544101,0.0,0.0,0.0,4,959063.394551684
2019-04-28,3481.4292256105064,0.0,5125.336250221929,0.0,36844.94377357615,0.0,0.0,0.0,4,1635990.970759337
2019-04-29,8413.3932294026,0.0,4641.9056341473415,0.0,36748.257650361236,0.0,0.0,0.0,4,4512897.743245787
2019-04-30,4641.9056341473415,0.0,2320.9528170736708,0.0,33653.5729176104,0.0,0.0,0.0,4,2312918.54696699
2019-05-01,5995.754289114013,0.0,3481.4292256105064,0.0,34620.6770797174,0.0,0.0,0.0,5,3102643.7682785355
2019-05-02,4448.533387717507,0.0,8413.3932294026,0.0,33943.87421721298,0.0,0.0,0.0,5,2200120.901863098
2019-05-03,3191.127926007928,0.0,4641.9056341473415,0.0,32493.09650907357,0.0,0.0,0.0,5,1466652.797519198
2019-05-04,3868.173718470176,0.0,5995.754289114013,0.0,34040.317410470074,0.0,0.0,0.0,5,1861586.2609671208
2019-05-05,3094.4418027930096,0.0,4448.533387717507,0.0,33653.32998765258,0.0,0.0,0.0,5,1410253.9749672518
2019-05-06,3481.4292256105064,0.0,3191.127926007928,0.0,28721.36598386048,0.0,0.0,0.0,5,1635990.970759337
2019-05-07,3384.743102395589,0.0,3868.173718470176,0.0,27464.20345210873,0.0,0.0,0.0,5,1579592.1482073914
2019-05-08,15086.19331097886,0.0,3094.4418027930096,0.0,36554.642473973574,0.0,0.0,0.0,5,8405266.732835868
2019-05-09,5995.754289114013,0.0,3481.4292256105064,0.0,38101.863375370085,0.0,0.0,0.0,5,3102643.7682785355
2019-05-10,4158.232088114928,0.0,3384.743102395589,0.0,39068.96753747709,0.0,0.0,0.0,5,2030782.728622959
2019-05-11,22049.294692157702,0.0,15086.19331097886,0.0,57250.088511164606,0.0,0.0,0.0,5,12466973.895666089
2019-05-12,3964.859841685093,0.0,5995.754289114013,0.0,58120.50655005669,0.0,0.0,0.0,5,1917985.083519067
2019-05-13,29882.571182270796,0.0,4158.232088114928,0.0,84521.64850671699,0.0,0.0,0.0,5,17036270.461463816
2019-05-14,43808.53101467065,0.0,22049.294692157702,0.0,124945.43641899205,0.0,0.0,0.0,5,25159543.081539955
