live_code,live_name,live_url,prod_codes
LL_036,종근당건강📢명절 전💥마지막 혜택💥,https://view.shoppinglive.naver.com/replays/1431637?fm=shoppinglive&sn=home,"LP_006,LP_003,LP_005,LP_001,LP_009,LP_002,LP_011,LP_004,LP_007,LP_008,LP_010,LP_012,LP_013,LP_014,LP_015,LP_016,LP_042,LP_017,LP_018,LP_044"
LL_037,추석선물은 '종근당건강'과 함께! 🚚내일도착,https://view.shoppinglive.naver.com/replays/627245?fm=shoppinglive&sn=home,"LP_057,LP_043,LP_058,LP_055,LP_042,LP_034,LP_044,LP_010,LP_018,LP_074,LP_049,LP_087,LP_053,LP_056,LP_067"
LL_038,10/17 종근당건강 라이브,https://view.shoppinglive.naver.com/lives/1747964?fm=shoppinglive&sn=home,"LP_006,LP_025,LP_064,LP_009,LP_039,LP_026,LP_110,LP_036,LP_017,LP_037,LP_042,LP_018,LP_013,LP_108,LP_109,LP_086,LP_065,LP_027,LP_001,LP_028,LP_008,LP_031,LP_029,LP_005,LP_014,LP_021,LP_022,LP_024,LP_020,LP_010"
LL_039,종근당건강 브랜드데이 라이브특가💝,https://view.shoppinglive.naver.com/replays/938049?fm=shoppinglive&sn=home,"LP_001,LP_006,LP_002,LP_003,LP_005,LP_012,LP_019,LP_015,LP_042,LP_036,LP_044,LP_018,LP_009,LP_010,LP_021,LP_020,LP_079"
LL_040,[최대 35% 혜택] 종근당건강 설선물대첩🎁,https://view.shoppinglive.naver.com/replays/1212499?fm=shoppinglive&sn=home,"LP_006,LP_003,LP_018,LP_001,LP_007,LP_005,LP_042,LP_004,LP_002,LP_036,LP_010,LP_044,LP_009,LP_012,LP_014,LP_086"
LL_041,🎉종근당건강 2득데이!🎉,https://view.shoppinglive.naver.com/replays/422101?fm=shoppinglive&sn=home,"LP_034,LP_052,LP_049,LP_053,LP_054,LP_074,LP_044,LP_042,LP_043"
LL_042,종근당건강 머슬&뷰티-풀(Full)위크,https://view.shoppinglive.naver.com/replays/401961?fm=shoppinglive&sn=home,
LL_043,[최대 65%] 설명절 특집🎁특가 내려온다!,https://view.shoppinglive.naver.com/replays/367718?fm=shoppinglive&sn=home,"LP_043,LP_042,LP_034,LP_055,LP_092,LP_018"
LL_044,종근당건강 🔥브랜드데이 ~55%🔥라이브중에만 1개월분 추가증정!,https://view.shoppinglive.naver.com/replays/1698425?fm=shoppinglive&sn=home,"LP_025,LP_064,LP_026,LP_009,LP_039,LP_108,LP_109,LP_013,LP_086,LP_065,LP_027,LP_001,LP_028,LP_008,LP_031,LP_029,LP_005,LP_014,LP_021,LP_022,LP_024,LP_020"
LL_045,[락토핏 골드30포 추가증정!] 40%혜택 100%경품,https://view.shoppinglive.naver.com/replays/269632?fm=shoppinglive&sn=home,
LL_046,종근당건강 추석 얼리버드 라이브 특가🎁,https://view.shoppinglive.naver.com/replays/1407592?fm=shoppinglive&sn=home,"LP_006,LP_003,LP_001,LP_009,LP_002,LP_005,LP_011,LP_004,LP_007,LP_008,LP_010,LP_012,LP_013,LP_014,LP_015,LP_020,LP_016,LP_036,LP_042,LP_017,LP_018,LP_044,LP_111"
LL_047,[최대51%] 종근당건강 라이브 쿠폰팩 증정!✨,https://view.shoppinglive.naver.com/replays/1639534?fm=shoppinglive&sn=home,"LP_025,LP_064,LP_026,LP_065,LP_027,LP_001,LP_028,LP_009,LP_010,LP_005,LP_029,LP_083,LP_037,LP_032,LP_012,LP_030,LP_023,LP_112"
LL_048,종근당건강 브랜드데이 라이브특가🎉,https://view.shoppinglive.naver.com/replays/1049700?fm=shoppinglive&sn=home,"LP_001,LP_003,LP_005,LP_002,LP_113,LP_012,LP_019,LP_009,LP_010,LP_023,LP_014,LP_021,LP_015,LP_020,LP_006,LP_042"
LL_049,"국민 유산균의 통 큰 혜택! 락토핏 9,900원!",https://view.shoppinglive.naver.com/replays/885413?fm=shoppinglive&sn=home,"LP_001,LP_006,LP_003,LP_114,LP_034,LP_115,LP_015,LP_116,LP_117,LP_010,LP_104,LP_103"
LL_050,가을맞이🍂 종근당건강 메가세일💝,https://view.shoppinglive.naver.com/replays/660064?fm=shoppinglive&sn=home,"LP_057,LP_034,LP_010,LP_058,LP_049,LP_087,LP_060,LP_059,LP_055,LP_053,LP_056"
LL_051,[최대 30%🎉랜선키즈SHOW!🎈],https://view.shoppinglive.naver.com/replays/405024?fm=shoppinglive&sn=home,"LP_049,LP_056,LP_034,LP_052,LP_074"
